perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-2022-00309,2022-05-20,,"서울특별시 강서구 곰달래로 212, 1층 (화곡동)",7783,굽네치킨 화곡2.8동점,2022-05-22 0:22:48,호프/통닭,,187248.143,447689.9636,126.8554814,37.53354512
3150000-101-2022-00310,2022-05-20,,"서울특별시 강서구 곰달래로 264, 지하1층 (화곡동)",7785,후킹 실내바다낚시,2022-05-22 0:22:48,한식,,187763.8592,447764.0217,126.8606386,37.53421838
3150000-101-2022-00311,2022-05-23,02 2665 2555,"서울특별시 강서구 금낭화로 135, 금강프라자빌딩 1층 109호 (방화동)",7510,돈까스 회관 방화역점,2022-06-26 2:40:00,경양식,,183366.1012,452817.4695,126.816661,37.58015881
3150000-101-2022-00313,2022-05-24,,"서울특별시 강서구 까치산로 151, 1층 102호 (화곡동)",7657,대한냉면,2024-09-11 2:40:00,냉면집,,186857.0888,449869.4335,126.8515709,37.55335849
3150000-101-2022-00315,2022-05-25,02 2607 3944,"서울특별시 강서구 월정로30길 55, 태영빌딩 1층 5호 (화곡동)",7765,도르리 칼국수,2022-06-26 2:40:00,한식,,185699.2072,448088.4636,126.8399921,37.53716785
3150000-101-2022-00316,2022-05-26,,"서울특별시 강서구 양천로 72, 해성빌딩  지하1층 (방화동)",7604,해성사우나,2022-05-28 0:22:31,분식,,183306.7516,452339.8932,126.8160675,37.57581721
3150000-101-2022-00317,2022-05-26,02 2668 8887,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 2층 214호 (마곡동)",7788,조니워커 마곡나루점,2022-06-22 2:40:00,기타,,184646.5808,451684.7269,126.8294658,37.56986115
3150000-101-2022-00318,2022-05-27,02 6309 9595,"서울특별시 강서구 공항대로 194, 문영 퀸즈파크12차 2층 210~213호 (마곡동)",7631,도화림 마곡점,2022-07-14 2:40:00,중국식,,184825.6763,450763.3366,126.8312568,37.56148488
3150000-101-2022-00322,2022-05-30,,"서울특별시 강서구 강서로 471, 엠코지니어스타 B동 1층 110호 (마곡동)",7791,프렌치코코,2022-06-04 0:22:32,일식,,185846.3165,451695.2923,126.8414632,37.5699572
3150000-101-2022-00323,2022-05-30,,"서울특별시 강서구 강서로 349, 1층 5호 (내발산동)",7632,진도댁 포장마차,2022-06-04 0:22:32,한식,,185565.2621,450533.2784,126.8386526,37.55939344
3150000-101-2022-00328,2022-05-31,02 2662 5045,"서울특별시 강서구 방화대로6길 15, 1층 (공항동)",7645,선미 버섯칼국수,2022-07-08 2:40:00,한식,,183802.3202,450327.8003,126.8210232,37.55752546
3150000-101-2022-00329,2022-06-02,,"서울특별시 강서구 마곡서로 133, 704동 1층 102호 (마곡동, 마곡엠밸리7단지)",7798,맛있는 밥집,2022-06-11 2:40:00,뷔페식,,184333.0321,451471.101,126.8263303,37.5679191
3150000-101-2022-00331,2022-06-02,,"서울특별시 강서구 강서로 395, 플레이스에이치 2층 206호 (마곡동)",7794,스시 카이시,2022-06-04 0:22:32,일식,,185668.6178,450985.7721,126.8396862,37.56350702
3150000-101-2022-00332,2022-06-02,,"서울특별시 강서구 마곡중앙6로 85, 마곡사이언스파크뷰 1층 108호 (마곡동)",7803,낭만포차,2024-10-06 2:40:00,한식,,185517.646,450898.3544,126.8381765,37.56271231
3150000-101-2022-00333,2022-06-02,02 2698 3377,"서울특별시 강서구 강서로 43-17, 오거닉스타워 1층 101호 (화곡동)",7774,백소정 까치산역점,2023-05-21 2:40:00,경양식,,186366.932,447659.7121,126.8466693,37.53327011
3150000-101-2022-00334,2022-06-02,,"서울특별시 강서구 까치산로2길 55, 1층 (화곡동)",7730,올라솔,2022-06-04 0:22:32,분식,,186083.3914,448515.0819,126.8438339,37.5410462
3150000-101-2022-00335,2022-06-03,,"서울특별시 강서구 강서로 231, 1층 122호 (화곡동, 우장산역 해링턴 타워)",7705,와삭바삭닭강정 우장산역점,2022-06-08 0:22:30,한식,,185432.7672,449342.4335,126.8373277,37.54856758
3150000-101-2022-00336,2022-06-03,,"서울특별시 강서구 화곡로31길 39, 1층 (화곡동)",7700,지글지글,2022-06-08 0:22:30,한식,,185902.8609,449140.9813,126.8420286,37.54673619
3150000-101-2022-00340,2022-06-07,02 3661 1963,"서울특별시 강서구 양천로49길 15, 1~2층 (가양동)",7523,갓갈비 가양점,2024-01-17 2:40:00,기타,,185855.8732,451914.2358,126.8415587,37.5719476
