asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
14,20191017,20191203,주식회사 한우1번지,"서울특별시 강서구 양천로 564, 등촌동두산위브센티움 1층 119호 (등촌동)",서울특별시 강서구 등촌동  631번지  등촌동두산위브센티움,3150000-101-2006-00470,한식,소고기,275,등촌제1동,상수도전용,226680001
18,20181010,20181210,토끼정 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하1층 (방화동)","서울특별시 강서구 방화동  886번지  김포공항, 롯데몰, 스카이시티",3150000-101-2018-00197,일식,우동,158.77,방화제2동,,261165477
22,20181010,20181210,태풍참치,"서울특별시 강서구 공항대로 261, 발산파크프라자 2층 207호 (마곡동)",서울특별시 강서구 마곡동  797번지 4호  발산파크프라자,3150000-101-2016-00265,일식,참치모듬회,141.12,가양제1동,상수도전용,236633753
23,20181010,20181210,메이탄,"서울특별시 강서구 강서로 242, 상가동 2층 215호 (화곡동, 강서힐스테이트)",서울특별시 강서구 화곡동  1165번지 1호  강서힐스테이트 (지상 2층)-215,3150000-101-2016-00233,중국식,양장피,197.04,우장산동,상수도전용,226998686
1,20050622,20080709,남다른 감자탕,"서울특별시 강서구 금낭화로 29, 달성빌딩 1층 (방화동)",서울특별시 강서구 방화동  597번지 25호  달성빌딩,3150000-101-2002-00494,한식,감자탕,231.5,방화제2동,상수도전용,226642110
22,20151118,20151118,백제원 등촌점,"서울특별시 강서구 공항대로 367, 백제원도쿄오백년장어 3층 (등촌동)",서울특별시 강서구 등촌동  661번지 12호  백제원도쿄오백년장어,3150000-101-2013-00241,한식,갈비찜,729.26,등촌제3동,상수도전용,226684114
12,20181010,20181210,플레이팅 김포공항점 티엔루,"서울특별시 강서구 하늘길 112, 김포공항 국내선청사 4층 (공항동)",서울특별시 강서구 공항동  1373번지  김포공항 국내선청사 (지상 4층),3150000-101-2018-00077,"외국음식전문점(인도,태국등)",베트남쌀국수,227.7,공항동,상수도전용,226669386
14,20070608,20070628,속초붉은대게,"서울특별시 강서구 화곡로60길 22, 1층 (화곡동)",서울특별시 강서구 화곡동  1115번지 29호  ,3150000-101-2005-00181,한식,홍게찜,196.29,화곡제6동,상수도전용,226993592
3,20141104,20141216,대청마루,"서울특별시 강서구 하늘길 38-0, 3층 (방화동, 김포공항국제선청사)",서울특별시 강서구 방화동  886번지 0호  김포공항국제선청사 3층,3150000-101-2014-00062,기타,김치찌개,570,방화제2동,상수도전용,7049479859
2,20141104,20141216,하늘찬,"서울특별시 강서구 하늘길 38, 3층 (방화동, 2동 김포공항 국제선청사 동관)",서울특별시 강서구 방화동  886번지 0호  김포공항 국제선청사 (지상 3층) 동관,3150000-101-2014-00010,한식,갈비찜,288,방화제2동,상수도전용,7049479855
3,20231024,20231212,방화동 아구찜,"서울특별시 강서구 방화동로 59, (방화동)",서울특별시 강서구 방화동  606번지 112호  1층,3150000-101-1991-05621,한식,삼겹살,123,방화제2동,상수도전용,226612288
